"F#","Score","nose_score","nose_x","nose_y","leftEye_score","leftEye_x","leftEye_y","rightEye_score","rightEye_x","rightEye_y","leftEar_score","leftEar_x","leftEar_y","rightEar_score","rightEar_x","rightEar_y","leftShoulder_score","leftShoulder_x","leftShoulder_y","rightShoulder_score","rightShoulder_x","rightShoulder_y","leftElbow_score","leftElbow_x","leftElbow_y","rightElbow_score","rightElbow_x","rightElbow_y","leftWrist_score","leftWrist_x","leftWrist_y","rightWrist_score","rightWrist_x","rightWrist_y","leftHip_score","leftHip_x","leftHip_y","rightHip_score","rightHip_x","rightHip_y","leftKnee_score","leftKnee_x","leftKnee_y","rightKnee_score","rightKnee_x","rightKnee_y","leftAnkle_score","leftAnkle_x","leftAnkle_y","rightAnkle_score","rightAnkle_x","rightAnkle_y"
"0","0.6669708250967019","0.9815255403518677","127.56644454656863","205.3872005496405","0.9784660935401917","136.53923483455884","192.46432954231196","0.9839168190956116","117.83312429789625","197.90149249861727","0.8669204115867615","148.00063189338235","204.99334554756638","0.8985457420349121","96.99749317044527","197.5374853083518","0.9909217357635498","173.62957324857027","264.38865999204927","0.9880021810531616","93.51065442453023","249.36440256844583","0.9803281426429749","190.392476000817","323.5208534983407","0.9658046364784241","29.29800794015523","272.85103316855646","0.3859628736972809","171.35850694444446","337.4686938260509","0.8753149509429932","77.27458480136846","204.33447373651828","0.5687665343284607","152.70443984885623","342.22042657632744","0.6851625442504883","93.65918926164217","355.57309311048124","0.06676013767719269","186.936114940768","349.20121724626665","0.08883212506771088","-0.6449407689711627","327.95699668141594","0.019361266866326332","166.79242302389707","337.55211214048677","0.013912291266024113","-5.572466881446589","313.25333586836285"
"1","0.6662408441086026","0.9818422794342041","123.57169755923204","199.0047272538717","0.9796649813652039","135.93252144607843","191.96031958655976","0.9847598671913147","117.58895175908906","197.68243030109238","0.8691293001174927","147.06680198120915","202.59933066579094","0.9041014909744263","96.21993719362746","197.46012729881085","0.9908963441848755","173.9740668402778","265.4036962458518","0.9886717796325684","93.20423400479984","249.24322887859515","0.9799246788024902","189.85097847732845","324.70932141869474","0.9676333665847778","29.96600780611724","272.348611207135","0.3814578652381897","170.52593954248368","337.8355529245022","0.8738524913787842","77.40487291921977","204.1930774249862","0.5620068311691284","152.63778786254085","342.5948043418142","0.6727092266082764","93.42631421058007","355.7720137064436","0.06516728550195694","186.63625280841504","348.93628145741155","0.09165947139263153","-0.09629539414948109","328.97046114491155","0.01857045665383339","166.9634969873366","337.6528687603706","0.01404663361608982","-5.810838088490605","314.21387799018254"
"2","0.6673364772406571","0.9827009439468384","127.37385269863154","204.94696963149892","0.9804962277412415","136.2200808057598","192.32401890037335","0.9849564433097839","117.9080180249183","197.62506805689992","0.8740232586860657","147.0245321435866","202.80448981090987","0.9052178263664246","96.65646222681782","197.75957765832413","0.9914212226867676","173.33448223039215","264.73011118120854","0.9883395433425903","93.23591643688727","249.91736488004705","0.9810640811920166","189.74902982026146","323.8699529867257","0.9672297239303589","29.946983187806374","272.2997398714049","0.3930954337120056","170.5503216911765","336.4585349834071","0.8759903907775879","64.35145558874592","205.08034495125833","0.5705915689468384","152.85082848243465","342.5093443203817","0.6692385077476501","93.68874942555148","355.6159041413164","0.06225603446364403","186.47467320261438","349.49337579507744","0.08587444573640823","-0.6053899627885009","327.8048733061394","0.018760720267891884","166.38496349060458","337.1910216745022","0.013463740237057209","76.82771969464869","250.56215539442758"
"3","0.670934713062118","0.9830290079116821","123.24201197406046","198.83951102737834","0.9801411032676697","134.85380284926472","192.9583902274613","0.9856032133102417","116.89409243515115","197.94864620782636","0.9000909328460693","146.81319891237746","203.28971930309737","0.907086193561554","96.47354824091096","198.22654521570797","0.9923712015151978","173.06279998978758","264.16967881464325","0.9893876314163208","93.57985153696896","249.70155969130258","0.9810506701469421","189.0418038960376","323.7228528588219","0.9705212116241455","30.586073133680557","272.21538172358964","0.3752959370613098","167.78034683925654","335.78545224350114","0.8886532783508301","61.885922500510624","206.13553477599558","0.5840193033218384","152.4517782373366","347.9106639760786","0.7024254202842712","94.91168651705475","355.2669342851217","0.06126931309700012","186.60942925347223","348.9566661193308","0.07291501015424728","-0.2848735198475956","326.75997303650445","0.018925301730632782","165.08956609987746","336.6741133158186","0.013105392456054688","94.6591366038603","330.20919394704094"
"4","0.6701408542473527","0.984142005443573","123.63300398284315","199.6245635716261","0.9831336140632629","134.86166960273692","194.25675383711285","0.9877350926399231","116.87300538705065","199.14260729224281","0.8996586799621582","146.37045866523692","203.81353057591264","0.9126678705215454","95.9167640037786","206.20968438882744","0.992892861366272","173.03149254493465","265.1021393632467","0.9892830848693848","92.32203265420752","249.62151181381364","0.9804331064224243","188.688454222835","325.0092578989215","0.9722565412521362","31.752572651782067","271.81292238488663","0.35371163487434387","77.42693333843955","206.39836404175887","0.8949059844017029","62.60854683670343","206.40194513101494","0.5647168755531311","151.7145054636438","347.4149180724558","0.7149116396903992","93.79258099724265","354.3061004908739","0.06051725894212723","186.19852302900327","349.3939479051438","0.07459467649459839","0.6468345293032578","326.74234305862836","0.01480057556182146","166.44223281760623","337.3822615631914","0.01203302014619112","76.49154762816585","251.08110546010786"
"5","0.6682972372783458","0.9830203652381897","123.00038456137663","200.09963314090157","0.9812339544296265","134.09098307291669","195.7362136165653","0.9857324361801147","115.73878070108252","200.12076318791483","0.9053459763526917","145.8725873161765","205.08975948907636","0.9121236801147461","95.1703239889706","205.96411240839328","0.9933290481567383","172.63852188010623","265.0891437361726","0.9895077347755432","92.37785788143383","249.3648076690404","0.9814914464950562","189.27412045547388","323.3400814090155","0.971278965473175","31.35034897748162","272.5804259713772","0.3678889572620392","171.43020131229576","336.9048262064436","0.8698509931564331","63.35822610294118","205.3411163060011","0.578209400177002","152.70702486723857","341.7179073907633","0.6766654253005981","94.58610185610704","355.5023787506914","0.06668682396411896","186.72192542381538","347.6701638550885","0.07118713855743408","-1.228219075919756","327.9764091019082","0.015996817499399185","166.70652701184642","338.0893079369469","0.011503870598971844","77.87740470537173","250.36187366046738"
"6","0.6713747189873281","0.984623908996582","123.57406715941586","199.25068813087668","0.9845227003097534","133.72531467013889","195.97553084381914","0.9874069690704346","116.01270488664217","200.45343179618365","0.9192070364952087","145.57744842728758","204.72847457480643","0.9173207879066467","95.42496425653596","206.30781595685843","0.9932805895805359","172.91010837928923","265.33878292657636","0.9888519644737244","91.05200674019608","249.9614398247373","0.9808611273765564","189.25787632761438","324.3944124204923","0.9738487005233765","33.67606368719363","269.0043761666897","0.35838741064071655","78.35180344924429","205.86813597552546","0.8900717496871948","63.760028913909316","205.7345500034569","0.5813227891921997","152.4695542279412","341.5647793660122","0.6754897236824036","94.47473862591912","355.19314116081307","0.06229192391037941","186.76226447610296","348.0809358579923","0.09009674936532974","0.5071818906497332","327.9970206201604","0.013724678196012974","166.39306959763073","339.4676546079923","0.012061413377523422","76.38896069495507","250.3135694655697"
"7","0.6677099155152545","0.9854065179824829","123.40947967728759","199.63015395983132","0.98414146900177","133.75505833843954","196.12924221342647","0.987013578414917","116.10784792432598","200.51481263827435","0.915727436542511","145.08967779820262","204.927605823078","0.9121308326721191","95.3445414624183","205.4258471463634","0.9929850697517395","172.9880578533497","264.7349399802959","0.9881463050842285","91.90863715277779","249.94999978394637","0.9811580777168274","188.8751340379902","323.2174817650719","0.9728695154190063","32.24796270233354","269.6951699045907","0.34615275263786316","79.1229607077206","204.5844370073977","0.8871135115623474","63.68817098779616","204.27897495506085","0.5661137700080872","152.46546926062092","342.25004753180315","0.662431538105011","94.500142016442","355.68350732853986","0.06724368035793304","186.46007263582518","348.0068510612556","0.07615314424037933","-1.306551515666488","328.0634247096239","0.014827056787908077","166.1575297436683","338.516348779729","0.011454307474195957","77.37160277522467","250.0775578591676"
"8","0.6644894891035031","0.9846838116645813","123.59130061529821","199.4665257276687","0.9840245246887207","134.06540415645426","196.11266549709626","0.9872102737426758","116.34350745506536","200.1974082204093","0.9128692150115967","145.56970932904412","204.98995890659572","0.9099184274673462","94.56316380718955","205.1481911988385","0.9922263622283936","172.86236532373368","265.16138127419805","0.9872498512268066","91.2915278416054","250.2029445952019","0.9800789952278137","188.90730315563727","324.0076547808352","0.9711479544639587","36.84341330933415","266.92640456478154","0.35687118768692017","77.96820746527779","205.1752033064851","0.8907622694969177","63.45994338490605","205.057124585177","0.5441970229148865","153.1503555198121","347.6352927959071","0.6296554803848267","94.34890248417075","356.2692179722069","0.06512117385864258","186.37286815767976","347.87559846861177","0.07351686805486679","0.24737079159107084","327.52992343058634","0.014919821172952652","165.93464371425654","337.5763533600664","0.011868075467646122","76.51012944240196","250.30010392180588"
"9","0.6733193521333092","0.9868693947792053","123.80390242034315","199.25676463979536","0.987406313419342","133.4613954631332","196.00602681657912","0.988852858543396","116.26882116779004","200.36581663958796","0.9348083138465881","144.90473728553923","204.39201422497237","0.9193870425224304","95.81458397160948","205.25408449426163","0.9938768744468689","173.8980800653595","265.6227098313053","0.9888800382614136","90.99105136846406","249.3702036089602","0.9807243347167969","188.10909096711603","322.7450696556969","0.9748288989067078","34.52081418504902","269.6793385733546","0.36414623260498047","80.31197342218138","205.24314677820797","0.8964102268218994","64.06853968801063","205.2331975076051","0.592964768409729","152.44196474162584","340.8533579058352","0.674433708190918","94.90453782424429","354.4507700152102","0.06161268800497055","186.42801521650327","347.7791197110067","0.07704433798789978","-0.7857515921000562","327.06525684457966","0.012723710387945175","168.0459654564951","339.3839122130808","0.011459244415163994","76.25782686121325","249.64011403311673"
"10","0.673818778630127","0.9866206645965576","123.77886603860294","198.81358458932525","0.9873708486557007","133.11469184027777","195.3780722829093","0.9884500503540039","116.27316144556782","200.38893978152657","0.9391687512397766","144.6304221558415","203.8562767906527","0.9236363768577576","96.39460146037582","205.72965638827435","0.9937779307365417","174.70385582618465","266.77520481886063","0.9887847900390625","90.92202978196488","249.96291439090157","0.9804224371910095","188.27473958333334","323.39209632535955","0.9749612212181091","34.506859872855394","267.4987955008988","0.36480700969696045","79.83604281556373","205.39470301265212","0.9008988738059998","64.51139961192811","205.32886606402104","0.5747603178024292","153.08710235396242","339.6566907494469","0.6841504573822021","94.92911145578023","353.56836369607305","0.0650457963347435","186.45421645220588","347.1583759679204","0.07847051322460175","-2.1096943873985143","327.0152836352323","0.012022804468870163","169.77405024509804","339.435765089187","0.011570393107831478","76.76601434844771","250.08877104362557"
"11","0.6748935615315157","0.9861623644828796","123.85220396752452","199.07532818549504","0.9879174828529358","134.0412294475082","195.68220560529593","0.9884296655654907","116.56982421875","200.278671399682","0.9333304762840271","145.12529360702615","204.05685019704094","0.9190926551818848","96.19910545598448","205.87142539235344","0.9937644004821777","174.7174032373366","266.72672237970136","0.9903891682624817","90.83351683772467","249.83070576085456","0.9817849397659302","188.3029992595997","323.8202390417589","0.9740881323814392","35.457739736519606","266.60212964083246","0.36827319860458374","80.1727334814134","204.17693821729813","0.9031096696853638","64.93796753727533","204.10925400995578","0.6001277565956116","152.98660577512257","340.1036625414823","0.6856057047843933","94.44975809334152","353.8728697110067","0.06159317493438721","186.14937576593138","347.55035130323563","0.0769905373454094","0.08877183876785578","329.0930607888551","0.012162587605416775","169.33330461090688","339.4846040168695","0.010368631221354008","24.497816297743057","299.2287532840155"
